Date,Price,Open,High,Low,Vol.,Change %
"Mar 15, 2022",172.60,172.60,172.60,172.60,-,-0.04
"Mar 14, 2022",179.65,179.65,179.65,179.65,-,-0.05
"Mar 11, 2022",189.26,189.26,189.26,189.26,-,-0.01
"Mar 10, 2022",190.33,190.33,190.33,190.33,-,-0.08
"Mar 09, 2022",206.83,206.83,206.83,206.83,-,-0.08
"Mar 08, 2022",223.69,223.69,223.69,223.69,-,0.06
"Mar 07, 2022",210.69,210.69,210.69,210.69,-,0.08
"Mar 04, 2022",195.25,195.25,195.25,195.25,-,0.05
"Mar 03, 2022",185.89,185.89,185.89,185.89,-,0.00
"Mar 02, 2022",185.89,185.89,185.89,185.89,-,0.12
"Mar 01, 2022",165.45,165.45,165.45,165.45,-,0.00
"Feb 28, 2022",165.45,165.45,165.45,165.45,-,0.06
"Feb 25, 2022",156.28,156.28,156.28,156.28,-,-0.07
"Feb 24, 2022",168.42,168.42,168.42,168.42,-,0.05
"Feb 23, 2022",160.48,160.48,160.48,160.48,-,0.00
"Feb 22, 2022",160.05,160.05,160.05,160.05,-,0.03
"Feb 18, 2022",155.85,155.85,155.85,155.85,-,0.01
"Feb 17, 2022",154.98,154.98,154.98,154.98,-,-0.03
"Feb 16, 2022",159.70,159.70,159.70,159.70,-,0.03
"Feb 15, 2022",155.25,155.25,155.25,155.25,-,-0.02
"Feb 14, 2022",159.10,159.10,159.10,159.10,-,0.02
"Feb 11, 2022",156.67,156.67,156.67,156.67,-,0.00
"Feb 10, 2022",156.33,156.33,156.33,156.33,-,0.01
"Feb 09, 2022",154.83,154.83,154.83,154.83,-,0.02
"Feb 08, 2022",151.89,151.89,151.89,151.89,-,-0.03
"Feb 07, 2022",156.99,156.99,156.99,156.99,-,0.00
"Feb 04, 2022",157.64,157.64,157.64,157.64,-,0.04
"Feb 03, 2022",151.76,151.76,151.76,151.76,-,0.02
"Feb 02, 2022",149.47,149.47,149.47,149.47,-,-0.01
"Feb 01, 2022",150.62,150.62,150.62,150.62,-,0.01
