Date,Price,Open,High,Low,Vol.,Change %
"Mar 15, 2022",25.16,25.26,25.32,24.75,47.79K,-0.01
"Mar 14, 2022",25.30,26.28,26.29,25.16,52.36K,-0.02
"Mar 13, 2022",25.90,26.15,26.28,25.86,-,-0.01
"Mar 11, 2022",26.16,26.26,26.35,25.70,51.55K,0.00
"Mar 10, 2022",26.26,26.06,26.43,25.60,55.85K,0.02
"Mar 09, 2022",25.82,26.93,27.39,25.73,87.11K,-0.04
"Mar 08, 2022",26.90,25.81,27.50,25.55,127.21K,0.05
"Mar 07, 2022",25.72,26.03,26.37,25.47,81.50K,-0.02
"Mar 06, 2022",26.24,25.86,26.28,25.86,-,0.02
"Mar 04, 2022",25.79,25.29,25.92,25.16,70.86K,0.02
"Mar 03, 2022",25.21,25.45,25.67,25.08,57.47K,0.00
"Mar 02, 2022",25.19,25.51,25.55,24.96,69.47K,-0.01
"Mar 01, 2022",25.54,24.46,25.65,24.35,68.56K,0.05
"Feb 28, 2022",24.37,24.62,24.88,24.16,55.28K,0.00
"Feb 27, 2022",24.46,24.20,24.80,24.20,-,0.02
"Feb 25, 2022",24.02,24.33,24.55,23.92,67.32K,-0.03
"Feb 24, 2022",24.71,24.65,25.71,23.88,90.87K,0.00
"Feb 23, 2022",24.60,24.20,24.66,24.10,37.69K,0.01
"Feb 22, 2022",24.36,24.10,24.43,23.76,42.99K,0.01
"Feb 21, 2022",24.04,24.03,24.21,23.71,-,0.00
"Feb 20, 2022",24.03,23.94,24.09,23.92,-,0.00
"Feb 18, 2022",24.04,23.90,24.17,23.75,-,0.00
"Feb 17, 2022",23.92,23.68,23.98,23.48,-,0.01
"Feb 16, 2022",23.65,23.45,23.71,23.34,-,0.01
"Feb 15, 2022",23.39,23.94,24.06,23.13,-,-0.02
"Feb 14, 2022",23.90,23.65,24.02,23.61,-,0.01
"Feb 13, 2022",23.65,23.62,23.66,23.56,-,0.01
"Feb 11, 2022",23.42,23.25,23.76,22.91,-,-0.01
"Feb 10, 2022",23.57,23.33,23.78,23.20,-,0.01
"Feb 09, 2022",23.39,23.23,23.41,23.15,-,0.01
"Feb 08, 2022",23.24,23.07,23.31,22.82,15.28K,0.01
"Feb 07, 2022",23.12,22.58,23.14,22.58,-,0.02
"Feb 06, 2022",22.59,22.51,22.61,22.50,-,0.00
"Feb 04, 2022",22.52,22.46,22.73,22.14,-,0.00
"Feb 03, 2022",22.42,22.70,22.70,22.05,-,-0.01
"Feb 02, 2022",22.75,22.68,22.91,22.52,-,0.01
"Feb 01, 2022",22.64,22.52,23.09,22.45,-,0.01
"Jan 31, 2022",22.43,22.51,22.70,22.30,-,0.00
"Jan 30, 2022",22.41,22.37,22.48,22.37,-,0.00
"Jan 28, 2022",22.34,22.84,22.85,22.20,-,-0.02
"Jan 27, 2022",22.71,23.59,23.66,22.63,-,-0.05
"Jan 26, 2022",23.85,23.90,24.04,23.52,-,0.00
"Jan 25, 2022",23.93,24.07,24.07,23.69,-,0.00
"Jan 24, 2022",23.84,24.35,24.38,23.65,-,-0.02
"Jan 23, 2022",24.34,24.33,24.36,24.24,-,0.00
"Jan 21, 2022",24.36,24.53,24.66,24.26,-,-0.02
"Jan 20, 2022",24.75,24.20,24.79,24.17,-,0.02
"Jan 19, 2022",24.27,23.55,24.30,23.48,-,0.03
"Jan 18, 2022",23.53,23.04,23.71,22.87,-,0.02
"Jan 17, 2022",23.04,22.97,23.13,22.86,-,0.00
"Jan 16, 2022",22.97,22.94,22.99,22.94,-,0.00
"Jan 14, 2022",22.95,23.13,23.37,22.89,-,-0.01
"Jan 13, 2022",23.20,23.21,23.34,23.07,-,0.00
"Jan 12, 2022",23.24,22.85,23.29,22.74,3.75K,0.02
"Jan 11, 2022",22.85,22.53,22.89,22.53,-,0.02
"Jan 10, 2022",22.50,22.38,22.57,22.28,-,0.01
"Jan 09, 2022",22.38,22.39,22.42,22.33,-,0.00
"Jan 07, 2022",22.44,22.23,22.49,21.99,-,0.01
"Jan 06, 2022",22.22,22.85,22.88,22.03,-,-0.04
"Jan 05, 2022",23.20,23.10,23.32,22.80,-,0.01
"Jan 04, 2022",23.09,22.96,23.15,22.70,-,0.01
"Jan 03, 2022",22.84,23.40,23.46,22.74,-,-0.02
"Jan 02, 2022",23.33,23.38,23.44,23.32,-,0.00
"Dec 31, 2021",23.38,23.10,23.41,23.10,-,0.01
"Dec 30, 2021",23.09,22.91,23.16,22.66,-,0.01
"Dec 29, 2021",22.85,23.01,23.01,22.64,0.04K,-0.01
"Dec 28, 2021",23.11,23.06,23.30,23.06,0.15K,0.01
"Dec 27, 2021",22.98,22.68,22.68,22.68,0.00K,0.00
"Dec 26, 2021",22.88,22.93,22.94,22.81,-,0.00
"Dec 24, 2021",22.91,22.91,22.91,22.91,-,0.00
"Dec 23, 2021",22.94,22.82,22.97,22.68,33.91K,0.01
"Dec 22, 2021",22.79,22.47,22.71,22.47,0.19K,0.01
"Dec 21, 2021",22.50,22.23,22.74,22.23,0.19K,0.01
"Dec 20, 2021",22.28,22.30,22.37,22.29,0.09K,0.00
"Dec 19, 2021",22.36,22.37,22.41,22.35,-,-0.01
"Dec 17, 2021",22.51,22.45,22.49,22.45,0.03K,0.00
"Dec 16, 2021",22.46,22.14,22.40,22.12,0.09K,0.04
"Dec 15, 2021",21.51,21.50,21.64,21.50,0.01K,-0.02
"Dec 14, 2021",21.89,22.25,22.25,21.66,0.00K,-0.02
"Dec 13, 2021",22.29,22.25,22.26,22.13,0.01K,0.00
"Dec 12, 2021",22.24,22.21,22.26,22.19,-,0.00
"Dec 10, 2021",22.16,21.89,22.17,21.80,0.02K,0.01
"Dec 09, 2021",21.97,22.28,22.29,21.89,0.03K,-0.02
"Dec 08, 2021",22.39,22.43,22.45,22.31,0.27K,0.00
"Dec 07, 2021",22.49,22.39,22.56,22.38,0.05K,0.01
"Dec 06, 2021",22.23,22.49,22.49,22.10,0.09K,-0.02
"Dec 05, 2021",22.60,22.56,22.63,22.51,-,0.01
"Dec 03, 2021",22.45,22.41,22.47,22.04,0.20K,0.01
"Dec 02, 2021",22.28,22.30,22.40,22.24,0.13K,0.00
"Dec 01, 2021",22.30,22.77,23.00,22.16,0.49K,-0.02
"Nov 30, 2021",22.77,22.89,23.26,22.71,2.51K,0.00
"Nov 29, 2021",22.80,23.14,23.42,22.73,10.39K,-0.03
"Nov 28, 2021",23.59,23.42,23.60,23.34,-,0.02
"Nov 26, 2021",23.11,23.58,23.74,22.92,61.28K,-0.02
"Nov 25, 2021",23.58,23.59,23.73,23.56,-,0.00
"Nov 24, 2021",23.50,23.64,23.70,23.40,54.62K,0.00
"Nov 23, 2021",23.44,24.21,24.34,23.28,93.87K,-0.04
"Nov 22, 2021",24.30,24.67,24.96,24.14,78.54K,-0.01
"Nov 21, 2021",24.65,24.66,24.69,24.56,-,-0.01
"Nov 19, 2021",24.78,24.85,25.04,24.61,67.98K,0.00
"Nov 18, 2021",24.90,25.15,25.23,24.73,63.62K,-0.01
"Nov 17, 2021",25.17,24.86,25.29,24.85,54.35K,0.01
"Nov 16, 2021",24.94,25.14,25.49,24.83,77.00K,-0.01
"Nov 15, 2021",25.11,25.43,25.47,24.97,68.48K,-0.01
"Nov 14, 2021",25.43,25.41,25.46,25.39,-,0.00
"Nov 12, 2021",25.35,25.35,25.47,24.93,66.39K,0.00
"Nov 11, 2021",25.30,24.71,25.37,24.65,82.02K,0.02
"Nov 10, 2021",24.77,24.38,25.22,24.04,131.56K,0.02
"Nov 09, 2021",24.32,24.55,24.57,24.09,65.11K,-0.01
"Nov 08, 2021",24.54,24.29,24.59,24.13,67.62K,0.01
"Nov 07, 2021",24.22,24.21,24.28,24.21,-,0.00
"Nov 05, 2021",24.16,23.87,24.26,23.67,73.24K,0.01
"Nov 04, 2021",23.91,23.53,24.12,23.49,68.46K,0.03
"Nov 03, 2021",23.23,23.57,23.67,23.05,67.16K,-0.01
"Nov 02, 2021",23.51,24.13,24.14,23.43,63.00K,-0.02
"Nov 01, 2021",24.07,23.99,24.18,23.81,37.06K,0.01
"Oct 31, 2021",23.84,23.95,23.98,23.81,-,0.00
"Oct 29, 2021",23.95,24.14,24.14,23.71,57.80K,-0.01
"Oct 28, 2021",24.12,24.13,24.31,24.02,45.96K,0.00
"Oct 27, 2021",24.19,24.22,24.33,23.91,48.09K,0.00
"Oct 26, 2021",24.09,24.65,24.66,23.93,61.76K,-0.02
"Oct 25, 2021",24.59,24.40,24.70,24.37,44.83K,0.01
"Oct 24, 2021",24.45,24.38,24.47,24.36,-,0.00
"Oct 22, 2021",24.45,24.22,24.92,24.19,83.28K,0.01
"Oct 21, 2021",24.17,24.37,24.55,24.07,58.68K,-0.01
"Oct 20, 2021",24.45,23.71,24.50,23.62,73.13K,0.02
"Oct 19, 2021",23.88,23.25,24.18,23.22,79.07K,0.03
"Oct 18, 2021",23.26,23.38,23.50,23.04,47.03K,-0.01
"Oct 17, 2021",23.39,23.34,23.43,23.34,-,0.00
"Oct 15, 2021",23.35,23.57,23.65,23.10,52.25K,-0.01
"Oct 14, 2021",23.48,23.10,23.63,22.93,54.28K,0.01
"Oct 13, 2021",23.17,22.57,23.29,22.48,71.90K,0.03
"Oct 12, 2021",22.51,22.61,22.79,22.33,42.93K,-0.01
"Oct 11, 2021",22.67,22.69,22.83,22.50,29.93K,0.00
"Oct 10, 2021",22.62,22.68,22.74,22.58,-,0.00
"Oct 08, 2021",22.71,22.61,23.22,22.44,69.58K,0.00
"Oct 07, 2021",22.66,22.64,22.84,22.39,41.56K,0.01
"Oct 06, 2021",22.53,22.64,22.70,22.19,38.89K,0.00
"Oct 05, 2021",22.61,22.73,22.73,22.38,27.04K,0.00
"Oct 04, 2021",22.64,22.60,22.81,22.29,35.18K,0.00
"Oct 03, 2021",22.68,22.56,22.79,22.54,-,0.01
"Oct 01, 2021",22.54,22.19,22.60,21.99,43.51K,0.02
"Sep 30, 2021",22.05,21.52,22.23,21.46,66.12K,0.03
"Sep 29, 2021",21.49,22.48,22.57,21.41,80.16K,-0.04
"Sep 28, 2021",22.47,22.63,22.68,22.08,55.49K,-0.01
"Sep 27, 2021",22.69,22.40,22.87,22.39,36.11K,0.01
"Sep 26, 2021",22.41,22.41,22.45,22.40,-,0.00
"Sep 24, 2021",22.43,22.53,22.79,22.09,41.67K,-0.01
"Sep 23, 2021",22.68,22.70,22.88,22.47,43.74K,-0.01
"Sep 22, 2021",22.91,22.49,23.15,22.46,51.99K,0.01
"Sep 21, 2021",22.61,22.27,22.72,22.21,41.11K,0.02
"Sep 20, 2021",22.20,22.33,22.50,22.03,50.98K,-0.01
"Sep 19, 2021",22.36,22.30,22.39,22.14,-,0.00
"Sep 17, 2021",22.34,22.91,23.13,22.31,66.39K,-0.02
"Sep 16, 2021",22.79,23.87,24.00,22.59,90.20K,-0.04
"Sep 15, 2021",23.80,23.87,23.94,23.67,32.69K,0.00
"Sep 14, 2021",23.89,23.78,23.98,23.44,42.44K,0.00
"Sep 13, 2021",23.80,23.79,23.89,23.36,47.76K,0.00
"Sep 12, 2021",23.80,23.82,23.84,23.78,-,0.00
"Sep 10, 2021",23.90,24.10,24.35,23.76,39.09K,-0.01
"Sep 09, 2021",24.18,24.00,24.36,23.87,43.41K,0.01
"Sep 08, 2021",24.06,24.39,24.48,23.94,45.43K,-0.01
"Sep 07, 2021",24.37,24.87,24.90,24.21,69.93K,-0.01
"Sep 06, 2021",24.74,24.81,24.89,24.71,-,0.00
"Sep 05, 2021",24.81,24.80,24.87,24.78,-,0.00
"Sep 03, 2021",24.80,23.95,24.95,23.91,67.19K,0.04
"Sep 02, 2021",23.92,24.20,24.28,23.82,36.86K,-0.01
"Sep 01, 2021",24.22,23.94,24.33,23.78,48.67K,0.01
"Aug 31, 2021",24.01,24.07,24.27,23.83,44.56K,0.00
"Aug 30, 2021",24.01,24.13,24.28,23.95,47.98K,-0.01
"Aug 29, 2021",24.15,24.08,24.16,24.06,-,0.00
"Aug 27, 2021",24.11,23.61,24.18,23.36,61.30K,0.02
"Aug 26, 2021",23.60,23.93,23.95,23.47,35.44K,-0.01
"Aug 25, 2021",23.82,23.92,23.96,23.64,32.16K,0.00
"Aug 24, 2021",23.94,23.70,24.02,23.60,19.86K,0.01
"Aug 23, 2021",23.66,22.99,23.71,22.93,57.34K,0.03
"Aug 22, 2021",22.95,22.97,23.04,22.94,-,-0.01
"Aug 20, 2021",23.11,23.21,23.30,22.84,55.72K,-0.01
"Aug 19, 2021",23.23,23.50,23.52,23.08,51.43K,-0.01
"Aug 18, 2021",23.42,23.66,23.83,23.27,46.29K,-0.01
"Aug 17, 2021",23.66,23.84,23.96,23.57,42.59K,-0.01
"Aug 16, 2021",23.79,23.75,23.89,23.38,42.36K,0.01
"Aug 15, 2021",23.67,23.72,23.75,23.66,-,0.00
"Aug 13, 2021",23.78,23.16,23.83,23.13,53.76K,0.03
"Aug 12, 2021",23.12,23.52,23.53,22.97,66.98K,-0.02
"Aug 11, 2021",23.49,23.33,23.57,23.19,70.05K,0.00
"Aug 10, 2021",23.39,23.45,23.68,23.22,62.93K,0.01
"Aug 09, 2021",23.27,24.34,24.38,22.30,118.53K,-0.01
"Aug 08, 2021",23.59,24.33,24.38,22.30,-,-0.03
"Aug 06, 2021",24.33,25.20,25.23,24.21,113.95K,-0.04
"Aug 05, 2021",25.29,25.43,25.57,25.12,42.43K,-0.01
"Aug 04, 2021",25.46,25.59,26.09,25.38,72.93K,0.00
"Aug 03, 2021",25.58,25.47,25.67,25.27,45.85K,0.00
"Aug 02, 2021",25.58,25.63,25.68,25.35,52.01K,0.00
"Aug 01, 2021",25.56,25.53,25.58,25.51,-,0.00
"Jul 30, 2021",25.55,25.60,25.69,25.40,43.33K,-0.01
"Jul 29, 2021",25.78,25.02,25.88,25.00,70.55K,0.04
"Jul 28, 2021",24.88,24.73,25.06,24.66,54.85K,0.01
"Jul 27, 2021",24.65,25.26,25.32,24.52,80.91K,-0.03
"Jul 26, 2021",25.32,25.27,25.51,25.18,40.29K,0.00
"Jul 25, 2021",25.22,25.23,25.23,25.21,-,0.00
"Jul 23, 2021",25.23,25.48,25.54,25.05,39.88K,-0.01
"Jul 22, 2021",25.38,25.33,25.52,25.06,48.08K,0.01
"Jul 21, 2021",25.26,24.98,25.37,24.79,50.53K,0.01
"Jul 20, 2021",25.00,25.24,25.32,24.84,64.68K,-0.01
"Jul 19, 2021",25.14,25.70,25.81,25.04,86.39K,-0.02
"Jul 18, 2021",25.75,25.71,25.75,25.67,-,0.00
"Jul 16, 2021",25.80,26.43,26.55,25.64,78.28K,-0.02
"Jul 15, 2021",26.39,26.33,26.49,26.25,35.26K,0.00
"Jul 14, 2021",26.27,26.06,26.58,26.01,65.10K,0.01
"Jul 13, 2021",26.14,26.32,26.44,26.01,50.73K,0.00
"Jul 12, 2021",26.24,26.19,26.38,25.93,43.37K,0.00
"Jul 11, 2021",26.19,26.20,26.21,26.18,-,0.00
"Jul 09, 2021",26.23,26.01,26.30,25.82,45.50K,0.01
"Jul 08, 2021",25.99,26.27,26.31,25.88,59.52K,-0.01
"Jul 07, 2021",26.13,26.27,26.55,26.06,50.06K,0.00
"Jul 06, 2021",26.17,26.64,26.91,26.10,80.50K,-0.01
"Jul 05, 2021",26.54,26.70,26.75,26.50,-,0.00
"Jul 02, 2021",26.50,26.15,26.70,26.10,57.34K,0.02
"Jul 01, 2021",26.10,26.25,26.53,26.05,54.77K,0.00
"Jun 30, 2021",26.19,25.88,26.28,25.80,44.64K,0.01
"Jun 29, 2021",25.90,26.24,26.24,25.58,75.84K,-0.01
"Jun 28, 2021",26.25,26.22,26.34,25.88,40.54K,0.00
"Jun 27, 2021",26.19,26.10,26.22,26.10,-,0.00
"Jun 25, 2021",26.13,26.06,26.42,26.01,31.54K,0.00
"Jun 24, 2021",26.09,25.98,26.28,25.91,25.31K,0.00
"Jun 23, 2021",26.15,25.89,26.41,25.85,23.74K,0.01
"Jun 22, 2021",25.90,26.02,26.12,25.78,13.53K,-0.01
"Jun 21, 2021",26.07,25.90,26.17,25.62,13.28K,0.01
"Jun 20, 2021",25.93,25.84,25.98,25.83,-,0.00
"Jun 18, 2021",26.01,26.00,26.59,25.81,17.96K,0.00
"Jun 17, 2021",25.89,27.05,27.36,25.86,26.94K,-0.07
"Jun 16, 2021",27.85,27.84,28.01,26.74,9.78K,0.00
"Jun 15, 2021",27.73,28.05,28.07,27.52,10.06K,-0.01
"Jun 14, 2021",28.07,28.11,28.19,27.61,7.69K,0.00
"Jun 13, 2021",27.96,28.05,28.12,27.95,-,-0.01
"Jun 11, 2021",28.18,28.18,28.47,28.06,19.57K,0.00
"Jun 10, 2021",28.06,27.91,28.21,27.52,20.04K,0.00
"Jun 09, 2021",28.03,27.75,28.17,27.66,14.58K,0.01
"Jun 08, 2021",27.76,28.06,28.15,27.65,16.40K,-0.01
"Jun 07, 2021",28.05,27.95,28.12,27.64,16.96K,0.01
"Jun 06, 2021",27.88,27.92,27.92,27.86,-,0.00
"Jun 04, 2021",27.93,27.59,28.01,27.36,4.68K,0.02
"Jun 03, 2021",27.51,28.33,28.40,27.13,5.01K,-0.03
"Jun 02, 2021",28.24,28.03,28.35,27.82,4.05K,0.00
"Jun 01, 2021",28.13,28.08,28.74,27.97,4.75K,0.00
"May 31, 2021",28.19,28.06,28.26,28.00,-,0.00
"May 30, 2021",28.06,28.06,28.09,28.04,-,0.00
"May 28, 2021",28.05,28.01,28.12,27.52,2.81K,0.00
"May 27, 2021",27.97,27.81,28.02,27.64,3.28K,0.00
"May 26, 2021",27.91,28.15,28.36,27.73,2.34K,-0.01
"May 25, 2021",28.09,27.90,28.18,27.60,2.99K,0.01
"May 24, 2021",27.93,27.71,28.04,27.59,2.20K,0.01
"May 23, 2021",27.66,27.65,27.68,27.60,-,0.01
"May 21, 2021",27.51,27.89,28.20,27.31,2.87K,-0.02
"May 20, 2021",28.09,27.87,28.15,27.53,2.12K,0.00
"May 19, 2021",28.05,28.32,28.35,27.46,3.35K,-0.01
"May 18, 2021",28.36,28.39,28.92,28.15,2.67K,0.00
"May 17, 2021",28.30,27.54,28.46,27.48,2.76K,0.03
"May 16, 2021",27.58,27.48,27.61,27.46,-,0.01
"May 14, 2021",27.39,27.22,27.61,26.96,1.83K,0.01
"May 13, 2021",27.08,27.11,27.33,26.82,3.28K,-0.01
"May 12, 2021",27.27,27.78,27.83,27.05,3.59K,-0.02
"May 11, 2021",27.69,27.40,27.80,27.22,3.04K,0.01
"May 10, 2021",27.52,27.69,28.01,27.38,2.94K,-0.01
"May 09, 2021",27.77,27.56,27.78,27.56,-,0.01
"May 07, 2021",27.50,27.42,27.80,27.27,2.44K,0.00
"May 06, 2021",27.50,26.59,27.61,26.31,4.53K,0.04
"May 05, 2021",26.55,26.57,26.72,26.20,2.55K,0.00
"May 04, 2021",26.58,27.04,27.27,26.21,3.59K,-0.02
"May 03, 2021",26.99,26.01,27.13,25.93,3.65K,0.04
"May 02, 2021",25.92,25.98,25.98,25.89,-,0.00
