Date,Price,Open,High,Low,Vol.,Change %,day
"Mar 15, 2022",39317.00,39717.90,39886.90,38212.00,5.30K,-0.01,366.00
"Mar 14, 2022",39717.00,37777.10,39977.00,37570.00,8.05K,0.05,365.00
"Mar 13, 2022",37777.10,38816.30,39314.00,37592.00,3.42K,-0.03,364.00
"Mar 12, 2022",38816.30,38737.00,39397.00,38679.00,1.81K,0.00,363.00
"Mar 11, 2022",38737.00,39458.50,40228.00,38236.40,9.57K,-0.02,362.00
"Mar 10, 2022",39458.50,41964.00,42069.00,38646.00,6.67K,-0.06,361.00
"Mar 09, 2022",41962.30,38757.00,42593.00,38692.50,5.96K,0.08,360.00
"Mar 08, 2022",38757.00,38039.00,39385.10,37906.00,5.51K,0.02,359.00
"Mar 07, 2022",38039.00,38437.00,39559.00,37198.00,6.78K,-0.01,358.00
"Mar 06, 2022",38437.00,39408.00,39715.00,38151.00,3.37K,-0.02,357.00
"Mar 05, 2022",39408.00,39171.00,39628.00,38680.00,2.19K,0.01,356.00
"Mar 04, 2022",39171.00,42489.00,42559.00,38621.00,6.38K,-0.08,355.00
"Mar 03, 2022",42490.00,43952.00,44103.00,41862.00,3.89K,-0.03,354.00
"Mar 02, 2022",43952.00,44442.00,45326.00,43386.00,5.57K,-0.01,353.00
"Mar 01, 2022",44442.00,43202.00,44939.00,42878.00,6.34K,0.03,352.00
"Feb 28, 2022",43202.00,37734.00,44198.00,37502.00,8.45K,0.14,351.00
"Feb 27, 2022",37734.00,39137.10,39888.00,37067.10,5.48K,-0.04,350.00
"Feb 26, 2022",39125.00,39243.00,40274.00,38633.00,3.59K,0.00,349.00
"Feb 25, 2022",39243.00,38380.00,39717.00,38071.10,6.43K,0.02,348.00
"Feb 24, 2022",38380.00,37292.00,39716.00,34435.00,17.88K,0.03,347.00
"Feb 23, 2022",37292.00,38299.00,39270.00,37142.00,5.81K,-0.03,346.00
"Feb 22, 2022",38299.00,37060.90,38475.00,36404.00,6.20K,0.03,345.00
"Feb 21, 2022",37054.00,38420.00,39531.00,36829.00,8.51K,-0.04,344.00
"Feb 20, 2022",38420.00,40128.00,40164.10,38071.00,3.53K,-0.04,343.00
"Feb 19, 2022",40141.00,40037.00,40478.00,39683.00,1.46K,0.00,342.00
"Feb 18, 2022",40037.00,40559.00,40983.00,39571.00,4.68K,-0.01,341.00
"Feb 17, 2022",40556.00,43885.00,44187.60,40126.80,6.75K,-0.08,340.00
"Feb 16, 2022",43885.00,44559.90,44584.00,43382.00,3.27K,-0.02,339.00
"Feb 15, 2022",44559.90,42559.90,44762.00,42467.00,4.11K,0.05,338.00
"Feb 14, 2022",42559.90,42091.00,42852.00,41608.00,4.78K,0.01,337.00
"Feb 13, 2022",42091.00,42239.10,42760.00,41920.00,1.95K,0.00,336.00
"Feb 12, 2022",42239.10,42418.00,43028.00,41810.00,2.66K,0.00,335.00
"Feb 11, 2022",42418.00,43545.00,43965.00,42053.00,5.61K,-0.03,334.00
"Feb 10, 2022",43545.00,44432.00,45851.00,43255.00,7.33K,-0.02,333.00
"Feb 09, 2022",44432.00,44060.50,44839.60,43160.00,3.71K,0.01,332.00
"Feb 08, 2022",44060.50,43865.00,45400.00,42713.00,7.62K,0.00,331.00
"Feb 07, 2022",43865.00,42416.00,44500.00,41715.00,5.52K,0.03,330.00
"Feb 06, 2022",42423.00,41454.00,42730.00,41171.00,2.36K,0.02,329.00
"Feb 05, 2022",41454.00,41562.70,41928.00,40979.80,2.60K,0.00,328.00
"Feb 04, 2022",41562.70,37331.00,41734.00,37070.00,8.27K,0.11,327.00
"Feb 03, 2022",37331.00,36925.00,37395.00,36282.00,5.03K,0.01,326.00
"Feb 02, 2022",36925.00,38733.00,38877.00,36660.00,4.19K,-0.05,325.00
"Feb 01, 2022",38733.00,38495.00,39350.00,38039.00,4.29K,0.01,324.00
"Jan 31, 2022",38526.00,37914.40,38772.10,36683.00,4.77K,0.02,323.00
"Jan 30, 2022",37939.00,38179.90,38349.00,37398.00,2.05K,-0.01,322.00
"Jan 29, 2022",38197.00,37759.80,38696.00,37347.70,3.55K,0.01,321.00
"Jan 28, 2022",37759.80,37217.00,38041.00,36197.00,4.58K,0.01,320.00
"Jan 27, 2022",37217.00,36830.80,37248.00,35571.00,6.94K,0.01,319.00
"Jan 26, 2022",36830.80,36986.00,38901.00,36301.00,10.65K,0.00,318.00
"Jan 25, 2022",36994.00,36702.00,37545.00,35759.00,8.86K,0.01,317.00
"Jan 24, 2022",36702.00,36308.00,37460.00,32981.00,23.10K,0.01,316.00
"Jan 23, 2022",36308.00,35103.00,36550.00,34687.30,8.72K,0.03,315.00
"Jan 22, 2022",35103.00,36467.00,36816.00,34079.00,17.58K,-0.04,314.00
"Jan 21, 2022",36501.00,40740.00,41132.00,35524.00,16.22K,-0.10,313.00
"Jan 20, 2022",40740.00,41676.00,43540.60,40572.00,5.11K,-0.02,312.00
"Jan 19, 2022",41676.00,42390.00,42581.20,41180.00,6.45K,-0.02,311.00
"Jan 18, 2022",42390.00,42223.00,42682.00,41304.00,4.34K,0.00,310.00
